Strategy,Model,Precision@5,Recall@5,MRR,NDCG
cosine,minilm,0.7166666666666667,0.036656436921783664,0.8243055555555555,0.8768455242112423
cosine,mpnet,0.6833333333333332,0.03270840403874167,0.7756944444444445,0.7880238083588859
cosine,bge,0.6666666666666666,0.031433464273200394,0.7881944444444443,0.8038655181668827
hybrid,minilm,0.7416666666666667,0.03851417389604606,0.8229166666666666,0.8708400215708473
hybrid,mpnet,0.6833333333333332,0.03351728404147755,0.7743055555555555,0.7874168808994485
hybrid,bge,0.725,0.034317712014305085,0.7743055555555555,0.8069673072901203
